Nama Produk;Harga;Diskon;Harga Sebelum Diskon;Lokasi;Toko;Rating;Terjual;Estimasi Terjual;Jenis;Proses;Origin;Negara;Jumlah gram
Kopi Arabika Solok 200 Gr Single Origin Bean/Biji & Ground/Bubuk - Bean - Biji;56500;0;56500;Tangerang;Caffeine Dope;5.0;29;29;Arabika;Other;Solok;Lokal;200
Kopi Arabika Preanger 1 Kg Single Origin Bean/Biji & Ground/Bubuk - Bean - Biji;213000;0;213000;Tangerang;Caffeine Dope;4.9;20;20;Arabika;Other;Preanger;Lokal;1000
KOPI ARABIKA AROMANIS 100 gr NATURAL (BIJI / BUBUK) - bubuk halus;63000;0;63000;Bandung;Zero Hour Coffee;5.0;30+;30;Arabika;Natural;Halu;Lokal;100
Kopi Arabika Montecillos Honduras 500 Gr - Bean/Biji & Ground/Bubuk - Bean - Biji;185000;0;185000;Tangerang;Caffeine Dope;5.0;8;8;Arabika;Other;Honduras;Internasional;500
KOPI ARABIKA BALI KINTAMANI 500GR - BIJI;130000;0;130000;Malang;HOUDVAN Coffee Co.;5.0;50+;50;Arabika;Other;Bali;Lokal;500
Biji Kopi Arabika Watermelon Smash! 1 KG Specialty Coffee - Biji;425000;0;425000;Bandung;Fugol Coffee;5.0;100+;100;Arabika;Other;Other;Other;1000
Kopi Arabika Mysore India 100 Gr - Bean/Biji & Ground/Bubuk - Bean - Biji;46500;0;46500;Tangerang;Caffeine Dope;5.0;19;19;Arabika;Other;India;Internasional;100
Kopi Arabika Import 200 Gram Single Origin - Bean/Biji & Ground/Bubuk;87000;0;87000;Tangerang;Caffeine Dope;0.0;9;9;Arabika;Other;Other;Other;200
Kopi Arabika Toraja Sapan (Bubuk & Biji ) 100 Gr - Medium Dark,  Bubuk Kasar;35000;13;40000;Makassar;Malotong Toraja Coffee;4.8;50+;50;Arabika;Other;Toraja;Lokal;100
Kopi Arabika Toraja 1 Kg Single Origin Bean/Biji & Ground/Bubuk - Coarse - Kasar;213000;0;213000;Tangerang;Caffeine Dope;5.0;70+;70;Arabika;Other;Toraja;Lokal;1000
KOPI ARABIKA ACEH GAYO 500GR - BIJI;130000;0;130000;Malang;HOUDVAN Coffee Co.;5.0;80+;80;Arabika;Other;Gayo;Lokal;500
Bubuk / Biji Kopi Arabica(Arabika) 150 GR Papua Wamena Kualitas Top - BIJI;55000;0;55000;Jakarta Barat;WATERGROUND COFFEE;4.8;100+;100;Arabika;Other;Papua;Lokal;150
Kopi Arabika Aceh Gayo WINE Process 500 Gram - Bean - Biji;170000;0;170000;Tangerang;Caffeine Dope;5.0;60+;60;Arabika;Wine;Gayo;Lokal;500
Kopi Arabika Ijen Raung NATURAL 250GR Single Origin Arabica Coffee - BIJI,  250 Gram;78750;0;78750;Jakarta Barat;WATERGROUND COFFEE;4.9;30+;30;Arabika;Natural;Ijen;Lokal;250
Kopi Arabika Montecillos Honduras 200 Gr - Bean/Biji & Ground/Bubuk - Bean - Biji;88000;0;88000;Tangerang;Caffeine Dope;4.9;30+;30;Arabika;Other;Honduras;Internasional;200
KOPI ARABIKA KAMOJANG 200 gr HONEY (BIJI / BUBUK) - bubuk halus;95000;0;95000;Bandung;Zero Hour Coffee;4.5;5;5;Arabika;Honey;Kamojang;Lokal;200
KOPI ARABIKA KAMOJANG 500 gr HONEY (BIJI / BUBUK) - biji kopi;198000;0;198000;Bandung;Zero Hour Coffee;5.0;4;4;Arabika;Honey;Kamojang;Lokal;500
Bubuk / Biji Kopi Arabica(Arabika) Specialty Papua Wamena Kualitas Top - BIJI;94500;0;94500;Jakarta Barat;WATERGROUND COFFEE;4.8;250+;250;Arabika;Other;Papua;Lokal;Other
KOPI ARABIKA AROMANIS 200 gr NATURAL (BIJI / BUBUK) - bubuk halus;113000;0;113000;Bandung;Zero Hour Coffee;5.0;25;25;Arabika;Natural;Halu;Lokal;200
Kopi Arabika Lintong 1 Kg Single Origin Bean/Biji & Ground/Bubuk - Bean - Biji;213000;0;213000;Tangerang;Caffeine Dope;5.0;23;23;Arabika;Other;Lintong;Lokal;1000
Kopi Arabika Kilimanjaro Tanzania 100 Gr - Bean/Biji & Ground/Bubuk - Bean - Biji;46500;0;46500;Tangerang;Caffeine Dope;4.8;50+;50;Arabika;Other;Kilimanjaro tanzania;Internasional;100
Kopi Arabika Luwak 200 Gr Single Origin - Biji & Bubuk - Bean - Biji;200000;0;200000;Tangerang;Caffeine Dope;5.0;19;19;Arabika;Luwak;Other;Other;200
Kopi Arabika Kintamani 200 Gr Single Origin Bean/Biji & Ground/Bubuk - Bean - Biji;56500;0;56500;Tangerang;Caffeine Dope;4.9;100+;100;Arabika;Other;Kintamani;Lokal;200
Kopi Arabika Java Ijen 500 Gr Single Origin Bean/Biji & Ground/Bubuk;115500;0;115500;Tangerang;Caffeine Dope;4.9;80+;80;Arabika;Other;Ijen;Lokal;500
Kopi Luwak Ternak Sidikalang Arabika 250 Gram;375000;0;375000;Jakarta Barat;Toko Kopi Sidikalang Jaya Harco;5.0;60+;60;Arabika;Luwak;Sidikalang;Lokal;250
Kopi Arabika Toraja (Biji/Bubuk) 250 GRAM - Medium Dark,  Bubuk Halus;65000;32;95000;Makassar;Malotong Toraja Coffee;4.8;1 rb+;1000;Arabika;Other;Toraja;Lokal;250
Kopi Arabika Flores Manggarai 1 KG Arabica Coffee - BIJI;240000;0;240000;Jakarta Barat;WATERGROUND COFFEE;5.0;19;19;Arabika;Other;Flores;Lokal;1000
Kopi Toraja Arabika Toraja Specialty 1AA Arabica Coffee - BIJI SANGRAI,  500gr Variety;125550;7;135000;Kab. Toraja Utara;TorayaKoffie;4.8;22;22;Arabika;Other;Toraja;Lokal;500
Kopi Arabika Peaberry / Lanang 500 Gr Single Origin - Bean - Biji;136000;0;136000;Tangerang;Caffeine Dope;5.0;30+;30;Arabika;Other;Other;Other;500
Kopi Arabika Luwak 500 Gr Single Origin - Bean/Biji & Ground/Bubuk - Bean - Biji;450000;0;450000;Tangerang;Caffeine Dope;5.0;2;2;Arabika;Luwak;Other;Other;500
Kopi Arabika Kerinci Mandarin Orange 100 gram Full Washed (Biji/Bubuk);63000;0;63000;Bandung;Fugol Coffee;5.0;100+;100;Arabika;Wash;Kerinci;Lokal;100
Kopi [Biji/Bubuk] 500gr Arabika Aceh Gayo WINE Kualitas Mantap - BIJI;150000;0;150000;Jakarta Barat;WATERGROUND COFFEE;4.8;100+;100;Arabika;Wine;Gayo;Lokal;500
Kopi Arabika Kerinci Mandarin Orange 200 gram Full Washed (Biji/Bubuk);113000;0;113000;Bandung;Fugol Coffee;5.0;250+;250;Arabika;Wash;Kerinci;Lokal;200
Drip Bag Coffee (Kopi Indonesia) - 5 Drip Bag;47500;5;50000;Jakarta Barat;Say Something Coffee;4.9;100+;100;Other;Other;Other;Other;Other
Kopi Arabika Kilimanjaro Tanzania 200 Gr - Bean/Biji & Ground/Bubuk;88000;0;88000;Tangerang;Caffeine Dope;4.9;50+;50;Arabika;Other;Kilimanjaro tanzania;Internasional;200
Kopi/Coffee ARABIKA PAPUA WAMENA 250gr - MEDIUM ROAST,  COARSE;58000;0;58000;Jakarta Timur;Kultur Jaringan Kopi;4.8;250+;250;Arabika;Other;Papua;Lokal;250
Kopi Arabika/Robusta Toraja Blend (Bubuk/Biji) 250GR - Medium Roasting,  Biji Roasting;65000;0;65000;Makassar;Malotong Toraja Coffee;4.9;1 rb+;1000;Blend;Other;Blend;Other;250
Kopi Arabika Ethiopia Yirgacheffe 1 KG Specialty Coffee Biji Kopi;502000;0;502000;Bandung;Fugol Coffee;5.0;50+;50;Arabika;Other;Yirgacheffe;Internasional;1000
Malotong Kopi Arabika Toraja 1kg Gandasil Coffee Bean Kopi Bubuk Biji - Medium Roasted,  Biji Roasted;310000;0;310000;Makassar;Malotong Toraja Coffee;4.8;250+;250;Arabika;Other;Toraja;Lokal;1000
Kopi Arabika Garut Papandayan 200 Gram Single Origin;56500;0;56500;Tangerang;Caffeine Dope;5.0;30+;30;Arabika;Other;Garut;Lokal;200
Kopi Arabika Peaberry / Lanang 1 Kg Single Origin - Bean - Biji;255000;0;255000;Tangerang;Caffeine Dope;5.0;12;12;Arabika;Other;Other;Other;1000
Kopi Arabika Wamena 200 Gr Single Origin Bean/Biji & Ground/Bubuk - Bean - Biji;64000;0;64000;Tangerang;Caffeine Dope;5.0;250+;250;Arabika;Other;Wamena;Lokal;200
KOPI ARABIKA KAMOJANG 200 gr FULL WASHED (BIJI / BUBUK);90999;0;90999;Bandung;Zero Hour Coffee;5.0;10;10;Arabika;Wash;Kamojang;Lokal;200
kopi Arabika proses natural palintang bdg Utara 200 gram by javanika - Kasar;70000;0;70000;Bandung;AbahKujangsari;4.7;8;8;Arabika;Natural;Palintang;Lokal;200
Kopi Arabika Puntang 1 Kg Single Origin Bean/Biji & Ground/Bubuk;213000;0;213000;Tangerang;Caffeine Dope;4.9;90+;90;Arabika;Other;Puntang;Lokal;1000
Malotong Kopi Arabika Toraja Sapan 1 Kg Bubuk/Biji - Medium Roasted,  Gilingan Kasar;310000;0;310000;Makassar;Malotong Toraja Coffee;5.0;29;29;Arabika;Other;Toraja;Lokal;1000
Kopi Luwak Liar Arabika Gayo 200 Gr - Bubuk / Biji - Wild Civet Coffee - BUBUK HALUS;138000;40;230000;Kab. Bandung;Sentra Kopi;5.0;40+;40;Arabika;Luwak;Gayo;Lokal;200
Kopi Toraja Blend Arabika Robusta Arabusta 500 gram;87000;13;100000;Makassar;Kopi Toraja Gandangbatu;5.0;30+;30;Blend;Other;Blend;Other;500
Kopi Arabika Yirgacheffe Ethiopia 100 Gr - Bean/Biji & Ground/Bubuk;46500;0;46500;Tangerang;Caffeine Dope;5.0;90+;90;Arabika;Other;Yirgacheffe;Internasional;100
